No,produk,review,rating,sumber
63,Scarlett Fragrance Brightening Body Lotion Romansa,"If you’re looking for some body lotion yang wangi, Scarlett is the perfect one for you! Menurutku there’s nothing special dari body lotion ini. Seperti body lotion pada umumnya, body lotion dari Scarlett ini memang melembapkan kulit kita, dan ada sedikit efek mencerahkan.",4,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
64,Scarlett Fragrance Brightening Body Lotion Romansa,"Haha aku suka ini lotion. Biasanya tuh aku suka mual nyium lotion yang di minimarket, kayak baunya kurang oke gitu, nah ini tuh baunya wangi harum menenangkan, yah meskipundia agak susah meresap yaa, tapi tuh aku cocok sama lembabnya, okeee banget",5,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
65,Scarlett Fragrance Brightening Body Lotion Romansa,"Pake ini udah lama banget, wanginya ga ada tandingannya wangi bangetttttttt, kulit yang tadinya kering banget sebelum pake ini setelah pake scarlet jadi lembab banget dan efek mencerahkan langsung keliatan setelah pemakaian wajib punya sih🔥",5,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
66,Scarlett Fragrance Brightening Body Lotion Romansa,"aku suka banget body lotion varian romansa karena selain baunya harum bangettt, body lotion ini juga bikin kulit aku cerah dan kulit aku juga jadi lembab tapi ga lengkettt. teksturnya juga gampang meresap ke kulit jadi bikin nyaman kalau diapply ke kulit. bintang 5 buat body lotion ini <3",5,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
67,Scarlett Fragrance Brightening Body Lotion Romansa,"buat kulitku yg super dry hadbody ini ngga nglembabin samsek, tekstur nya juga kentel yg sulit ngresap. cuma wangi doang itupun cuma beberapa jam. ngga rekomen, ngga bakal repurchase juga. sungguh kecewa karena reviewnya terlalu gembar gembor",1,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
68,Scarlett Fragrance Brightening Body Lotion Romansa,JUJUR kemakan korban endorse-an influencer! :( kesel banget yang seharusnya lembapin malah bikin kering banget banget dan susah buat di blend + tipikal whitening lotion pada umumnya yang jadi abu banget . im hardly not recomm this lotion for dry skin.,1,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
69,Scarlett Fragrance Brightening Body Lotion Romansa,"Beli ini karena virall waktu itu, tapi gatau kenapa dikit gue gaabuat ngelembapin sama sekali, iya jadi tone up tapi galama abis itu balik aja lagi ke warna kulit asli, wanginya juga ga tahan lama, untuk harga segitu mending cari” body lotion yg lain",1,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
70,Scarlett Fragrance Brightening Body Lotion Romansa,"Beli body lotion ini karena keracunan liat review dimana-mana, semua bilang bagus. Tapi sorry to say, bagusnya gatau dimana klo kata aku😭 soalnya di kulit aku dia susah diratain, teksturnya berat menurut aku. Perlu di ratainnya lama, klo ga dia susah nyerap dan ninggalin putih-putih di kulit. Plusnya aku akuin dia ngasih tone up di kulit sama wangi. Aku cuma pake beberapa kali, sisanya aku kasih ade, dan adeku juga bilang klo lotionnya berat, susah rata, dan harus digosok lama.",2,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=4
71,Scarlett Fragrance Brightening Body Lotion Romansa,"Aku beli ini karena keracunan, alih-alih pengen ngecerahin badan aku. Tapi ternyata gak sesuai sama claimnya, menurut aku ini hanya ada efek tone up aja, dan lagi lotionnya susah di ratain, kayak ada sisah putih2 di tangan aku. Wanginya sih emang enak, tapi gak deh skip",2,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=4
72,Scarlett Fragrance Brightening Body Lotion Romansa,"Over claim. Katanya mencerahkan, katanya melembapkan. Mencerahkan? Gak sama sekali. Melembapkan? Gak juga. So sad :( malah bikin kesan kulit keset. Maaf banget scarlett kita ga cocok. Satu hal positif nya: wangi.",2,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=4
73,Scarlett Fragrance Brightening Body Lotion Romansa,"nyobain ini karna tergiur iklan yang berseliweran yaa dulu, honestly ini pas dipake di tangan aku menimbulkan whitecase yang sangat ketara, jadi kesan saat menggunakan ini pertama kali, di kulit jadi keliatan abu abu, untuk aromanya harum yaa, lembut, aku suka, tapi dari segi tekstur ini terlalu padat dibandingkan lotion lainnya, jadi perlu tenaga ekstra untuk meratakan ke seluruh bagian",3,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
74,Scarlett Fragrance Brightening Body Lotion Romansa,"aku pertama kali pake yg romansa ini, jujur aku tergiur sm iklan2 kata nya bisa mencerahkan bla bla bla. tekstur nya enak bgt untuk dipake kulit, wanginya harum bgt jujur aku suka bgt SM wanginya dan cukup untuk melembabkan si di aku, klo kena air licin bgt. sayang bgt dia ga ada spf nya dan di aku ga mencerahkan si, cuma ada tone up pas pertama kali pake",3,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
75,Scarlett Fragrance Brightening Body Lotion Romansa,"Lagi² keracunan product viral 😌 aku belinya pas lagi hybe² nya scarlett ngeluarin product ini. Sumpah baunya enaaaakk bgt bgt bgtt dan emg bener sih klaim dia yang bisa bikin cerahan secara instan, tapii habis itu kerasanya kulit jadi kering bgt, dan dia kaya ga meresap gitu, setiap kali kena air jadi ky luntur licin² gimanaaa gt 😭 sayang bgt sih scarlett padahal baunya udah wangi yang mewah bgt 😌",3,https://reviews.femaledaily.com/products/moisturizer-36/creams-body-butter/scarlett/scarlett-fragrance-hand-and-body-whitening-cream?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
76,Nivea Extra White Instant Glow Lotion,"suka sama produknya Nivea karena dia cepet meresap, gak lengket juga, dan kena paparan sinar matahari pun gak cekit cekit. efek cerahnya dapat tapi karena aku gak konsisten pakai, jadi yaa gak maksimal. tekstur nya cair banget jadi hati hati kalau mau pakai produknya yaa.",5,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=2
77,Nivea Extra White Instant Glow Lotion,nggak ngerasain efek apapun selain melembabkan. melembabkannya pun enggak lembab banget di kulitku yang kering ini. point plusnya dia encer banget gak lengket kalo dipake untuk daily body lotion. dia mengandung uv protection tapi gak ada spf nya sayang banget,3,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
78,Nivea Extra White Instant Glow Lotion,"Tau produk ini karena rekomendasi di internet, katanya mencerahkan tapi di aku nggak terlalu. Mungkin kalau lebih konsisten dan dibarengi pemakaian tabir surya yang bagus, bisa lebih kelihatan. Wanginya standar sih nggak secandu itu, but nyaman dipake dengan konsistensi yang gak cair ataupun thick.",4,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=4
79,Nivea Extra White Instant Glow Lotion,"Pakai ini berharap bikin kulit nggak belang lagi. Tapi ternyataaaa parah deh nggak ada efek sama sekali padahal udah pakai cukup lama. efek glownya cuman sebentar doang. Teksturnya cair banget dan agak lengket, ngeresapnya lama pula hadeh..",1,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
80,Nivea Extra White Instant Glow Lotion,"Kali pertama coba, nyesel sih belinya, gak ada efeknya padahal udah pakai sebulan, lotion ini juga cair gitu, malah jadi gak rata dikulit hmm, padahal dikit kok pakainya tp tetep saja, kesel ah, gamau coba lagi",1,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=2
81,Nivea Extra White Instant Glow Lotion,"Body lotion nivea yang ini aku kurang suka karena teksturnya yang cair, lama ngeresapnya di kulit dan bikin lengket. Buat efek mencerahkan juga ga seberapa ngaruh sih di kulit aku masih sama aja. wanginya lumayan enak dan harga affordable lah",2,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=3
82,Nivea Extra White Instant Glow Lotion,"Gak ada nyerap2nya ke badan nih produk. Bingung juga apa aku yang salah cara pakainya. Mau pas badan kering, mau pas masih damp, gak bisa2 nyerap. Gak ada perubahan signifikan juga di kulit belangku. Padahal sudah pakai 2-3x sehari.",2,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=4
83,Nivea Extra White Instant Glow Lotion,"Wanginya enak. Ga lengket di kulit. Kebetulan cari body lotion yang ada double uv protection. Harganya terjangkau. Aku pakai ini buat sehari-hari atau mau pergi olah raga yang aktivitasnya di luar rumah. Fine2 aja pakai ini, ga gatal atau apa karena kulit aku tipe yang sensitif",4,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
84,Nivea Extra White Instant Glow Lotion,Produk ini mudah dicari. Lumayan bantu mencerahkan kulit dibandingkan dengan produk yang lain. Lumayan melembabkan juga. Cocok untuk kamu yang suka atau sedang beraktifitas diluar . Sebaiknya juga pakai nivea yang body serumnya agar lebih maksimal hasilnya.,4,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
85,Nivea Extra White Instant Glow Lotion,"sumpah jatuh cinta bgt sama body lotion ini, karna teksturnya ringan bgt, wanginya soft , dan karna aku pake ini udah lama hasilnya bener bener keliatan kulit jadi lebih lembab dan lebih cerah, dannn harganya masih aman dikantongg dan gampang dicari di ecommerce",5,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
86,Nivea Extra White Instant Glow Lotion,"Tekstur lotionnya terlalu cair. Syok bgt pas nuangin jadi kebanyakan dan netes ke mana2 ?? Pas dioles ke kulit tipikalnya watery dikit dan agak lama meresap ke kulit. Wanginya soft fresh. Efek lembabny so so aja, wfek mencerahkannya jg gk keliatan sampai udah habis sebotol. Re-purchase? I think no, next aja.",3,https://reviews.femaledaily.com/products/moisturizer-36/lotions/nivea/nivea-extra-white-56?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=4
87,Vaseline Healthy Bright Cocoa Radiance,"akhirnya Vaseline ada varian yang aroma beda gini. ini wanginya coklatnya pas, enak, gak manis dan lumayan merilekskan mood. teksturnya creamy, mudah menyerap dan gak lengket. untuk hasil maksimal harus rajin pakai dan dibarengi dengan night body lotionnya.",5,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
